true_ko	rank_pearson	rank_revpert	cell	cell_line	seed	alpha_star	n_catalog
KIAA1143	623	264	hepg2	HepG2	1	0.43850818276405334	2372
FEN1	705	109	hepg2	HepG2	1	0.43850818276405334	2372
PHF10	277	1216	hepg2	HepG2	1	0.43850818276405334	2372
HSF1	565	834	hepg2	HepG2	1	0.43850818276405334	2372
BCAR1	1658	1382	hepg2	HepG2	1	0.43850818276405334	2372
UXT	39	11	hepg2	HepG2	1	0.43850818276405334	2372
SHQ1	1637	652	hepg2	HepG2	1	0.43850818276405334	2372
NUP153	442	133	hepg2	HepG2	1	0.43850818276405334	2372
KPNA6	1859	1637	hepg2	HepG2	1	0.43850818276405334	2372
STAT5B	944	1202	hepg2	HepG2	1	0.43850818276405334	2372
VPS54	2006	1895	hepg2	HepG2	1	0.43850818276405334	2372
SDHAF2	1382	970	hepg2	HepG2	1	0.43850818276405334	2372
CCT4	74	31	hepg2	HepG2	1	0.43850818276405334	2372
SNW1	888	78	hepg2	HepG2	1	0.43850818276405334	2372
TPT1	1632	512	hepg2	HepG2	1	0.43850818276405334	2372
PDCD6IP	1405	1029	hepg2	HepG2	1	0.43850818276405334	2372
BPTF	1316	960	hepg2	HepG2	1	0.43850818276405334	2372
PRKRIP1	1064	1276	hepg2	HepG2	1	0.43850818276405334	2372
RRP15	296	160	hepg2	HepG2	1	0.43850818276405334	2372
WBP1	605	1282	hepg2	HepG2	1	0.43850818276405334	2372
POLR1D	111	48	hepg2	HepG2	1	0.43850818276405334	2372
MED28	45	23	hepg2	HepG2	1	0.43850818276405334	2372
ZMAT2	808	375	hepg2	HepG2	1	0.43850818276405334	2372
HIST1H2AE	1852	1817	hepg2	HepG2	1	0.43850818276405334	2372
UBE2N	2264	1987	hepg2	HepG2	1	0.43850818276405334	2372
NLE1	65	3	hepg2	HepG2	1	0.43850818276405334	2372
LTBP4	234	125	hepg2	HepG2	1	0.43850818276405334	2372
CSE1L	953	259	hepg2	HepG2	1	0.43850818276405334	2372
WDR70	21	5	hepg2	HepG2	1	0.43850818276405334	2372
THOC7	1686	1186	hepg2	HepG2	1	0.43850818276405334	2372
RNF31	33	8	hepg2	HepG2	1	0.43850818276405334	2372
CT45A5	1969	1992	hepg2	HepG2	1	0.43850818276405334	2372
INTS8	341	3	hepg2	HepG2	1	0.43850818276405334	2372
CIAO1	1598	1271	hepg2	HepG2	1	0.43850818276405334	2372
SLC1A5	524	258	hepg2	HepG2	1	0.43850818276405334	2372
SAE1	308	345	hepg2	HepG2	1	0.43850818276405334	2372
TWF1	1302	1058	hepg2	HepG2	1	0.43850818276405334	2372
SMG5	152	1	hepg2	HepG2	1	0.43850818276405334	2372
PABPC1	1434	1171	hepg2	HepG2	1	0.43850818276405334	2372
GTF2H4	825	3	hepg2	HepG2	1	0.43850818276405334	2372
TOP1	1605	1788	hepg2	HepG2	1	0.43850818276405334	2372
STRAP	188	44	hepg2	HepG2	1	0.43850818276405334	2372
CENPJ	33	7	hepg2	HepG2	1	0.43850818276405334	2372
PPP6C	895	641	hepg2	HepG2	1	0.43850818276405334	2372
PFDN5	841	763	hepg2	HepG2	1	0.43850818276405334	2372
RPL27A	18	5	hepg2	HepG2	1	0.43850818276405334	2372
NUP43	1673	1314	hepg2	HepG2	1	0.43850818276405334	2372
SRA1	2013	1752	hepg2	HepG2	1	0.43850818276405334	2372
CDK9	647	123	hepg2	HepG2	1	0.43850818276405334	2372
GINS4	327	4	hepg2	HepG2	1	0.43850818276405334	2372
EGLN2	1322	937	hepg2	HepG2	1	0.43850818276405334	2372
MRPL35	9	12	hepg2	HepG2	1	0.43850818276405334	2372
PKM	623	936	hepg2	HepG2	1	0.43850818276405334	2372
SMNDC1	1994	1766	hepg2	HepG2	1	0.43850818276405334	2372
EXOSC5	812	4	hepg2	HepG2	1	0.43850818276405334	2372
GTF3A	1251	98	hepg2	HepG2	1	0.43850818276405334	2372
SEC61A1	1250	530	hepg2	HepG2	1	0.43850818276405334	2372
TFDP1	53	242	hepg2	HepG2	1	0.43850818276405334	2372
GET1	1664	1738	hepg2	HepG2	1	0.43850818276405334	2372
CPEB1	40	77	hepg2	HepG2	1	0.43850818276405334	2372
ELP4	26	2	hepg2	HepG2	1	0.43850818276405334	2372
MRPL28	108	67	hepg2	HepG2	1	0.43850818276405334	2372
RCCD1	740	951	hepg2	HepG2	1	0.43850818276405334	2372
CWC25	226	384	hepg2	HepG2	1	0.43850818276405334	2372
UBE2Z	1495	899	hepg2	HepG2	1	0.43850818276405334	2372
BTF3	678	532	hepg2	HepG2	1	0.43850818276405334	2372
OGFOD1	6	3	hepg2	HepG2	1	0.43850818276405334	2372
ATP2A2	35	74	hepg2	HepG2	1	0.43850818276405334	2372
